% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7033 +2.475965700e+00 +2.475965700e+00 +8.786596570e+01 +8.786596570e+01 +3.1514e+00 +3.0321e+00 -2.6999e+00 +3.2089e+00 +2.0056e+00 -1.0884e+00 -2.3547e+00 +1.7228e+00 -2.4300e+00 +2.0603e+00 -3.3674e+00 -2.1479e+00 -2.7319e+00 -1.0783e+00 +1.4651e+00 +1.0964e+00 +2.8685e+00 +3.2820e-01 +2.9200e+00 -3.7440e+00
104493 +1.460421967e+00 +1.460421967e+00 +8.685042197e+01 +8.685042197e+01 +3.1180e+00 +2.4238e+00 -2.8243e+00 +3.2075e+00 +2.0057e+00 -1.0867e+00 -2.3553e+00 +1.7230e+00 -2.4303e+00 +2.0021e+00 -3.3665e+00 -2.1541e+00 -2.7005e+00 -1.0831e+00 +1.4674e+00 +1.0962e+00 +2.8727e+00 +3.4187e-01 +2.9612e+00 -3.7437e+00
106157 +9.659830852e-01 +9.659830852e-01 +8.635598309e+01 +8.635598309e+01 +3.1209e+00 +2.4249e+00 -2.8203e+00 +3.2076e+00 +2.0058e+00 -1.0865e+00 -2.3554e+00 +1.7230e+00 -2.4303e+00 +1.9986e+00 -3.3661e+00 -2.1537e+00 -2.7006e+00 -1.0763e+00 +1.4692e+00 +1.0962e+00 +2.8733e+00 +3.4052e-01 +2.9615e+00 -3.7438e+00
% function evaluation | noise-free fitness - Fopt (-9.872900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.221127597e+01 +1.221127597e+01 -9.750787240e+02 -9.750787240e+02 -2.2703e+00 +4.9351e+00 -6.4988e-01 -2.7867e+00 -4.5922e+00 -1.6178e+00 +1.1960e+00 +3.3061e+00 +3.6714e-01 -4.8571e+00 -1.2017e+00 +1.2921e+00 -3.6909e+00 -4.7201e+00 -3.1697e+00 +2.2517e-02 -2.6202e+00 -4.2087e+00 +3.8700e+00 +1.0707e+00
4 +9.278596986e+00 +9.278596986e+00 -9.780114030e+02 -9.780114030e+02 -4.6665e+00 +2.0003e+00 -6.7134e-01 -4.5955e+00 +3.1471e+00 +1.7339e+00 +3.2670e+00 -1.9925e+00 +2.7304e+00 -2.6341e+00 +3.5320e+00 +7.8181e-01 -9.7027e-01 -3.3986e+00 -8.3722e-01 +4.2809e+00 +1.8490e-01 -1.6750e+00 +2.8354e+00 -2.7373e+00
30 +5.521234333e+00 +5.521234333e+00 -9.817687657e+02 -9.817687657e+02 -5.0000e+00 -6.7664e-02 -2.1615e+00 -1.3028e+00 +3.1496e-01 +3.1857e+00 +3.1509e+00 -1.9161e+00 +3.1221e+00 -2.3971e+00 +1.6197e+00 +7.5596e-01 +6.3693e-01 -3.8475e+00 +1.0803e-01 +3.2958e+00 -1.6996e+00 -1.8612e+00 +3.6133e+00 -4.1672e+00
33 +3.970684447e+00 +3.970684447e+00 -9.833193156e+02 -9.833193156e+02 -4.7161e+00 -6.2268e-02 -2.6718e+00 -1.9172e+00 +3.0909e+00 +3.1017e+00 +0.0000e+00 -4.0457e-01 +2.8659e+00 -2.0645e+00 +1.8601e+00 +4.9002e-01 -4.1046e-01 -2.1636e+00 -4.4133e-01 +3.7535e+00 -2.4297e+00 -1.8677e+00 +3.7141e+00 -4.0711e+00
2265 +2.467240143e+00 +2.467240143e+00 -9.848227599e+02 -9.848227599e+02 -4.4121e+00 -3.1706e-01 -3.0732e+00 -2.0727e+00 +2.9975e+00 +4.0644e+00 -5.5563e-01 -1.5054e+00 +3.3231e+00 -1.7088e+00 +2.0432e+00 +4.2875e-01 +1.0987e-01 -1.7991e+00 -1.9134e+00 +3.5279e+00 -4.1682e+00 -8.5025e-01 +3.7949e+00 -3.1851e+00
98108 +1.584677017e+00 +1.584677017e+00 -9.857053230e+02 -9.857053230e+02 -4.3797e+00 -2.6479e-01 -3.0711e+00 -2.0773e+00 +2.9979e+00 +4.0622e+00 -5.5723e-01 -1.5354e+00 +3.3169e+00 -1.7088e+00 +2.0397e+00 +4.2871e-01 +1.0774e-01 -1.8068e+00 -1.9077e+00 +3.5371e+00 -4.1653e+00 -8.4868e-01 +3.7908e+00 -3.1329e+00
% function evaluation | noise-free fitness - Fopt (-1.517600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.768673482e+01 +1.768673482e+01 -1.340732652e+02 -1.340732652e+02 +2.8615e+00 -3.6391e+00 +3.9385e-01 -3.8028e+00 +3.3636e+00 +7.9990e-01 -1.0218e+00 +3.1343e+00 -1.3955e+00 +7.8557e-01 -3.5064e+00 +4.7426e+00 -2.3195e+00 -1.8424e+00 -4.4999e+00 -3.2802e+00 -1.2487e+00 +3.5179e+00 -2.3105e+00 -1.9750e+00
2 +1.230992466e+01 +1.230992466e+01 -1.394500753e+02 -1.394500753e+02 +2.8953e+00 +1.0044e+00 +1.8505e+00 -3.5195e+00 +1.7051e+00 +2.4492e+00 -4.4480e+00 -4.1703e+00 -4.0414e+00 -3.9549e+00 -4.6288e+00 -3.9496e-01 -2.6881e-01 -3.0048e+00 +3.0695e+00 -3.4489e+00 -6.4698e-01 -1.3459e+00 -2.6836e+00 -3.3786e+00
7 +9.138586907e+00 +9.138586907e+00 -1.426214131e+02 -1.426214131e+02 +3.3207e+00 +4.6831e+00 +2.9126e+00 -3.0112e+00 -4.7768e+00 -2.2682e+00 -2.9269e+00 -2.7995e+00 +4.2006e+00 -1.5411e+00 -8.7107e-01 -8.2693e-01 +4.1624e-01 +2.7437e+00 +4.5007e+00 +3.6283e+00 +1.8402e+00 +7.7401e-01 +1.6053e+00 -4.4518e+00
137 +4.537943358e+00 +4.537943358e+00 -1.472220566e+02 -1.472220566e+02 -2.7897e+00 +1.5393e+00 +5.0000e+00 -4.8529e+00 -4.9916e+00 -1.2702e+00 -2.8555e+00 +4.1733e+00 +3.8727e+00 -4.2646e+00 +4.8974e-01 -3.8813e+00 -3.1768e+00 +2.3225e+00 +1.0641e+00 +2.7502e+00 +3.8035e+00 +1.6634e+00 -4.6769e+00 +5.0000e+00
