% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
66 +3.894015630e+02 +3.894015630e+02 +2.558115630e+02 +2.558115630e+02 +9.2702e-01 +2.2943e+00 +8.1655e-01 +6.8371e-01 -2.7120e+00 +2.5103e+00 -7.8066e-02 +6.5376e-01 +2.6569e+00 +1.3280e+00 -1.9607e+00 -4.1727e-01 -6.1365e-01 -5.3410e-01 -3.0865e+00 -2.5363e-01 +1.6391e+00 +3.4595e+00 -1.4669e+00 +2.2994e+00
310 +1.974983819e+02 +1.974983819e+02 +6.390838193e+01 +6.390838193e+01 +8.4798e-01 +1.9532e+00 -1.1281e+00 -1.2224e+00 +2.2729e-01 +1.1521e-01 +1.2146e+00 -9.8767e-01 +1.0304e-01 +2.0975e-01 +1.1144e+00 -7.6668e-02 -1.3910e+00 -1.9560e+00 -1.0313e+00 -1.7564e-01 +1.2446e+00 +8.8154e-01 +1.8034e+00 +1.9544e+00
556 +1.415725712e+02 +1.415725712e+02 +7.982571187e+00 +7.982571187e+00 +1.5199e+00 -4.6591e-01 -1.4812e+00 -9.9020e-01 -1.6388e+00 +3.9638e-01 +1.1475e+00 -1.0628e+00 +1.2905e+00 +7.6625e-01 -1.7586e+00 +1.5892e+00 -1.7131e+00 -1.4523e+00 +8.4090e-01 -1.3123e+00 +9.2133e-01 +9.1552e-01 +3.8495e-01 +1.6628e+00
% function evaluation | noise-free fitness - Fopt (-4.089000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.663883582e+02 +4.663883582e+02 +4.254983582e+02 +4.254983582e+02 -1.5642e+00 -2.9723e+00 +4.3410e-01 +1.4295e+00 -3.1973e+00 -4.1749e-01 +1.2372e+00 +3.6152e+00 -3.9960e+00 +2.5117e-01 +2.3426e+00 -1.1024e+00 +1.1584e-02 -2.7710e+00 -3.4886e+00 +6.4324e-02 -7.8068e-01 +5.6919e-02 +1.5585e+00 +1.1326e+00
6 +3.926447532e+02 +3.926447532e+02 +3.517547532e+02 +3.517547532e+02 -3.1770e-01 -1.3742e+00 +2.3159e+00 -5.5468e-01 -2.7732e+00 +5.8274e-02 -7.7832e-01 +2.1311e+00 -1.8314e+00 -1.1827e-02 +3.1223e+00 -9.2644e-01 -1.2593e+00 -3.8901e+00 -2.6013e+00 -1.8355e+00 +7.8168e-01 +1.1948e+00 -8.4888e-02 +6.0140e-01
205 +2.509124349e+02 +2.509124349e+02 +2.100224349e+02 +2.100224349e+02 -1.6113e+00 -3.1445e+00 -1.3590e-01 -2.6589e-01 +1.1161e+00 +6.0215e-01 -1.0768e-01 +2.0667e+00 -1.0547e+00 -1.6844e+00 +8.7941e-01 +1.3347e+00 -2.0490e+00 -3.0053e+00 -2.3833e+00 +1.4141e+00 +6.0900e-02 +2.1855e+00 +1.4952e+00 +1.9168e+00
677 +1.219367949e+02 +1.219367949e+02 +8.104679485e+01 +8.104679485e+01 -1.2818e+00 -1.6071e+00 -1.8249e-01 -1.7918e+00 +8.0758e-01 -1.5728e+00 -3.7370e-01 +5.7110e-01 -1.0239e+00 -2.0822e+00 -1.8849e+00 +1.5316e+00 -1.1300e+00 -2.2019e+00 -1.1754e+00 +1.3391e+00 -3.5394e-01 +2.0192e+00 +6.8544e-01 +1.4260e+00
% function evaluation | noise-free fitness - Fopt (-2.512400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.513276029e+02 +4.513276029e+02 +2.000876029e+02 +2.000876029e+02 -3.3763e+00 +5.9381e-02 -7.0509e-01 -1.1819e+00 -6.9564e-01 +6.6615e-01 +1.1816e+00 -1.0004e+00 +1.9120e+00 -1.3189e+00 -1.0176e+00 +3.0942e+00 +1.0528e+00 -8.3767e-01 -9.7120e-01 +1.9848e+00 +6.6626e-01 -3.3367e+00 -5.2715e-01 -1.1782e+00
