% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
19275 +1.565254435e-01 +1.565254435e-01 +1.239865254e+02 +1.239865254e+02 +1.9672e-01 -5.0831e-01 -6.0797e-01 -4.9863e-02 +4.8774e-01 -1.5966e-01 -6.9671e-01 -3.9803e-02 +1.4127e-01 +9.4788e-01 -1.3164e-01 +1.6291e-01 +5.0849e-01 -1.0301e-01 -7.1602e-01 -3.1836e-01 +9.1855e-01 -2.0251e-01 +2.2417e-01 +1.9524e-01
19637 +9.953813165e-02 +9.953813165e-02 +1.239295381e+02 +1.239295381e+02 +1.8607e-01 -4.9840e-01 -6.2338e-01 -4.1168e-02 +5.2760e-01 -1.4393e-01 -7.0454e-01 -5.9029e-02 +1.1354e-01 +9.7467e-01 -1.5629e-01 +1.1727e-01 +4.6853e-01 -8.6438e-02 -7.1596e-01 -3.5501e-01 +9.3919e-01 -1.8039e-01 +2.3024e-01 +1.6489e-01
19852 +5.836430069e-02 +5.836430069e-02 +1.238883643e+02 +1.238883643e+02 +1.7070e-01 -4.8503e-01 -6.4185e-01 -3.2097e-02 +5.6604e-01 -1.2291e-01 -7.0944e-01 -8.2711e-02 +7.8919e-02 +1.0098e+00 -1.8847e-01 +5.5700e-02 +4.2142e-01 -6.9204e-02 -7.1028e-01 -4.0661e-01 +9.6092e-01 -1.5786e-01 +2.3164e-01 +1.2466e-01
19962 +3.930985674e-02 +3.930985674e-02 +1.238693099e+02 +1.238693099e+02 +1.6750e-01 -4.8021e-01 -6.4765e-01 -2.9046e-02 +5.8297e-01 -1.1487e-01 -7.1579e-01 -9.0002e-02 +6.5315e-02 +1.0214e+00 -1.9700e-01 +3.4164e-02 +4.0851e-01 -5.9869e-02 -7.1335e-01 -4.2197e-01 +9.7226e-01 -1.5160e-01 +2.3025e-01 +1.0823e-01
20086 +2.311247982e-02 +2.311247982e-02 +1.238531125e+02 +1.238531125e+02 +1.5190e-01 -4.6027e-01 -6.6907e-01 -1.4513e-02 +6.3854e-01 -9.0060e-02 -7.2389e-01 -1.2670e-01 +1.8882e-02 +1.0695e+00 -2.3392e-01 -4.8917e-02 +3.4889e-01 -3.5865e-02 -7.0851e-01 -4.9221e-01 +9.9964e-01 -1.1976e-01 +2.3448e-01 +5.1943e-02
20284 +1.399704161e-02 +1.399704161e-02 +1.238439970e+02 +1.238439970e+02 +1.4862e-01 -4.5461e-01 -6.7099e-01 -1.3009e-02 +6.4563e-01 -8.6335e-02 -7.2416e-01 -1.2824e-01 +1.4859e-02 +1.0815e+00 -2.4049e-01 -6.3080e-02 +3.4171e-01 -3.0007e-02 -7.0733e-01 -5.0617e-01 +1.0056e+00 -1.1930e-01 +2.3366e-01 +4.2763e-02
20376 +9.035113728e-03 +9.035113728e-03 +1.238390351e+02 +1.238390351e+02 +1.4611e-01 -4.4903e-01 -6.7528e-01 -7.6422e-03 +6.5746e-01 -8.0321e-02 -7.2680e-01 -1.3619e-01 +3.8662e-03 +1.0898e+00 -2.5183e-01 -8.1488e-02 +3.2476e-01 -2.5910e-02 -7.0697e-01 -5.2284e-01 +1.0094e+00 -1.0976e-01 +2.3652e-01 +3.0188e-02
20446 +6.072595086e-03 +6.072595086e-03 +1.238360726e+02 +1.238360726e+02 +1.4589e-01 -4.4924e-01 -6.7409e-01 -8.8041e-03 +6.5451e-01 -8.1504e-02 -7.2646e-01 -1.3367e-01 +5.5079e-03 +1.0880e+00 -2.5008e-01 -7.7671e-02 +3.2789e-01 -2.5999e-02 -7.0632e-01 -5.1856e-01 +1.0085e+00 -1.1130e-01 +2.3446e-01 +3.1750e-02
20558 +2.769965491e-03 +2.769965491e-03 +1.238327700e+02 +1.238327700e+02 +1.4399e-01 -4.4437e-01 -6.7829e-01 -5.0429e-03 +6.6581e-01 -7.7353e-02 -7.2647e-01 -1.4175e-01 -4.7566e-03 +1.0992e+00 -2.6121e-01 -9.5520e-02 +3.1576e-01 -2.2887e-02 -7.0468e-01 -5.3506e-01 +1.0126e+00 -1.0538e-01 +2.3500e-01 +1.9659e-02
20627 +1.829320316e-03 +1.829320316e-03 +1.238318293e+02 +1.238318293e+02 +1.4263e-01 -4.4402e-01 -6.7735e-01 -5.8345e-03 +6.6474e-01 -7.6557e-02 -7.2605e-01 -1.4157e-01 -4.9808e-03 +1.0976e+00 -2.6027e-01 -9.5061e-02 +3.1530e-01 -2.1690e-02 -7.0439e-01 -5.3370e-01 +1.0120e+00 -1.0555e-01 +2.3512e-01 +1.9848e-02
