% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
359 +9.667886039e+03 +9.667886039e+03 +9.699256039e+03 +9.699256039e+03 +3.7503e+00 -1.4575e+00 -4.0697e+00 +2.8945e+00 -4.4581e+00 -4.2586e+00 -1.7198e+00 +4.0740e-02 -1.3600e+00 -5.0000e+00 -4.9152e-01 -3.5639e-01 +4.9285e+00 -2.6923e+00 +2.0887e+00 +2.7494e+00 +2.6344e+00 -4.4075e+00 +1.3309e+00 +1.8995e-02
437 +3.213770999e+03 +3.213770999e+03 +3.245140999e+03 +3.245140999e+03 +4.1965e+00 -2.5642e-01 -4.6480e+00 +2.2257e+00 -5.0000e+00 -5.0000e+00 -2.9712e+00 +1.2114e+00 -3.9721e+00 -5.0000e+00 -5.9050e-01 -6.0291e-01 +4.6032e+00 -2.2847e+00 +2.7678e+00 +3.5380e+00 +1.4126e+00 -4.2397e+00 +1.7457e+00 -9.9255e-02
452 +6.234671944e+02 +6.234671944e+02 +6.548371944e+02 +6.548371944e+02 +4.2988e+00 -1.0858e+00 -3.8883e+00 +3.3851e+00 -4.0248e+00 -4.2863e+00 -2.1060e+00 +9.3339e-01 -3.0698e+00 -5.0000e+00 -4.1978e-01 +1.4092e-01 +4.6013e+00 -1.9653e+00 +2.8096e-01 +2.9417e+00 +1.0504e+00 -4.4282e+00 +2.8919e+00 +5.1205e-01
522 +2.491892363e+02 +2.491892363e+02 +2.805592363e+02 +2.805592363e+02 +4.5561e+00 +3.7327e-01 -5.0000e+00 +3.5285e+00 -4.2560e+00 -3.7042e+00 -3.0439e+00 +2.0339e+00 -5.3963e-01 -5.0000e+00 +4.3659e-01 +6.6867e-01 +4.7266e+00 -2.6891e+00 +2.9037e+00 +3.6105e+00 +5.5250e-02 -3.6221e+00 +2.3628e+00 +2.0111e+00
1482 +1.575702184e+02 +1.575702184e+02 +1.889402184e+02 +1.889402184e+02 +4.8770e+00 +1.5101e+00 -4.0165e+00 +3.0223e+00 -4.4560e+00 -2.5524e+00 -1.6809e+00 +1.5153e+00 -7.8142e-01 -4.9705e+00 +2.7428e-01 +1.3534e+00 +4.6613e+00 -3.3718e-01 -1.9818e-01 +3.2261e+00 +1.5304e+00 -2.5126e+00 +1.4318e+00 +7.1270e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.780460439e+05 +5.780460439e+05 +5.770460439e+05 +5.770460439e+05 -1.3815e+00 +5.3207e-01 -4.3619e+00 +3.2835e+00 +5.0087e-01 -3.9100e+00 -2.6088e+00 +4.6389e+00 -4.5222e+00 -1.4516e+00 +4.8841e+00 +3.5875e+00 -4.3339e+00 +2.7166e+00 -4.0443e+00 +2.9536e+00 -6.4258e-01 +3.4970e+00 -2.3434e-01 +3.8784e+00
14 +3.667109711e+05 +3.667109711e+05 +3.657109711e+05 +3.657109711e+05 -3.8069e+00 +3.3801e+00 -2.4606e+00 +1.9888e+00 -2.0876e+00 +9.2068e-01 -6.8837e-02 +2.5534e-01 -8.8374e-01 +2.4159e-01 +2.1034e+00 -1.1329e+00 +2.7394e-01 +2.7284e+00 -3.5889e+00 -3.2387e+00 -1.7157e-01 -3.7751e+00 -1.5024e+00 +3.4044e+00
145 +1.423196430e+05 +1.423196430e+05 +1.413196430e+05 +1.413196430e+05 +3.1387e+00 -1.9633e-01 +9.1230e-01 +3.8025e+00 -2.6958e+00 +2.8462e+00 -2.2499e+00 -1.1027e+00 -6.1884e-01 +2.0027e-01 +2.3098e+00 -3.8318e+00 +1.6826e+00 +3.3551e+00 -5.0000e+00 -3.4212e+00 +1.8694e+00 +3.3215e-01 -4.7526e+00 +3.7752e+00
191 +6.708259569e+04 +6.708259569e+04 +6.608259569e+04 +6.608259569e+04 +5.0000e+00 +5.0000e+00 +3.8789e-01 +4.4068e+00 -3.3645e+00 +3.6139e+00 -1.0938e+00 +2.6150e+00 +2.5269e+00 +3.9435e+00 +3.8304e+00 -1.7126e+00 +4.1365e-02 +3.4563e+00 -3.6454e+00 -8.4019e-01 -7.2258e-01 +3.8310e+00 -1.7599e+00 +2.6285e+00
220 +3.587695891e+04 +3.587695891e+04 +3.487695891e+04 +3.487695891e+04 +4.3346e+00 -4.2944e+00 -3.6562e-01 +3.0800e+00 -2.0888e+00 +1.7613e+00 -2.0185e+00 +6.5458e-01 +4.8225e-01 +1.0124e+00 +1.0429e+00 -3.0638e-02 -1.3185e+00 +4.0357e+00 -4.8056e+00 -1.6862e+00 -3.6780e+00 +2.6160e+00 -5.0000e+00 +5.0000e+00
241 +1.440643508e+03 +1.440643508e+03 +4.406435083e+02 +4.406435083e+02 +4.7395e+00 +2.0006e+00 -2.9970e+00 +3.9807e+00 -1.8261e+00 +2.2219e+00 +2.3921e-01 +1.2684e+00 +4.6282e-01 +3.2878e+00 +2.4473e+00 -1.9802e+00 +1.5757e+00 +4.1919e+00 -5.0000e+00 -8.5076e-01 -2.8482e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
387 +4.326674413e+02 +4.326674413e+02 -5.673325587e+02 -5.673325587e+02 +3.9956e+00 +2.2823e+00 -3.7212e+00 +3.9739e+00 +4.2291e-01 +2.0971e+00 +9.8188e-01 -1.4839e-01 -2.3271e+00 +4.2298e+00 +2.8886e+00 -1.8219e+00 +1.3023e+00 +2.7110e+00 -5.0000e+00 +3.1565e-01 -2.3499e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00
696 +3.878849295e+02 +3.878849295e+02 -6.121150705e+02 -6.121150705e+02 +3.8888e+00 +1.9672e+00 -1.8473e+00 +3.9878e+00 +1.4890e-01 +1.2384e+00 +6.8985e-01 -3.2518e-01 -1.5087e+00 +4.5160e+00 +2.9526e+00 -1.8046e+00 +1.2180e+00 +2.2290e+00 -4.6180e+00 -8.9027e-01 -2.7132e+00 +4.9948e+00 -4.9550e+00 +4.9924e+00
818 +2.173862564e+02 +2.173862564e+02 -7.826137436e+02 -7.826137436e+02 +3.6265e+00 +2.1113e-01 +4.0776e-01 +4.2478e+00 -2.6786e-01 +9.7102e-01 +3.9618e-01 -2.6032e+00 +5.8231e-01 +4.6890e+00 +4.0972e+00 -2.9007e+00 -2.8418e-01 +1.6128e+00 -4.4409e+00 -2.9005e+00 -3.8251e+00 +4.9962e+00 -4.9093e+00 +4.9932e+00
