% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.283537419e+03 +3.283537419e+03 +3.309007419e+03 +3.309007419e+03 +2.4601e+00 +2.7975e+00 -2.7357e+00 +2.7954e+00 -3.3043e+00 -4.8531e+00 +1.7496e-01 -2.4217e+00 -5.0886e-01 +3.4341e+00 -7.8142e-01 -1.5531e+00 -3.6944e+00 +4.7046e+00 -1.5360e+00 -3.9298e-01 -3.8904e-01 -1.1840e+00 -4.6307e+00 -2.0637e+00
2 +1.514514441e+03 +1.514514441e+03 +1.539984441e+03 +1.539984441e+03 +1.9392e-01 -2.0358e+00 +4.6374e+00 +2.3634e+00 +4.2076e+00 -2.4142e+00 +1.0594e+00 +2.6594e+00 +3.1506e-01 -3.8081e+00 -3.3875e+00 +2.1778e+00 -2.7401e+00 -3.0549e+00 +4.7199e+00 -1.1205e+00 +8.1556e-01 -4.3411e+00 +3.3227e+00 -4.5057e+00
65 +9.585373999e+02 +9.585373999e+02 +9.840073999e+02 +9.840073999e+02 -1.4704e+00 +4.6934e+00 -2.1764e+00 +1.1419e+00 +1.5008e+00 +2.4960e+00 +3.8978e-01 -1.3867e+00 +7.8436e-01 +2.8369e+00 -3.2070e+00 -1.5987e+00 +7.6429e-01 +3.2239e-01 +4.7053e+00 -2.8624e+00 -5.2120e-01 +2.5076e+00 +4.0599e-01 +2.3310e+00
174 +5.292687395e+02 +5.292687395e+02 +5.547387395e+02 +5.547387395e+02 -5.0000e+00 -1.4445e+00 -1.4369e+00 -5.4101e-02 -1.3604e+00 +1.1410e+00 -1.8121e+00 +2.6194e+00 +1.6572e+00 +2.4888e+00 -2.7318e+00 +6.8088e-01 +6.3228e-01 -5.0000e+00 +4.1146e+00 +4.3092e+00 +9.2430e-01 +5.0000e+00 +5.0000e+00 -3.0189e+00
317 +3.701683171e+02 +3.701683171e+02 +3.956383171e+02 +3.956383171e+02 -4.9204e+00 -3.3923e+00 -1.2188e+00 -7.6418e-01 -1.3762e+00 -4.3697e-01 -2.5759e+00 +4.3352e-01 +4.1067e-01 +2.9551e+00 -1.9973e+00 -2.4751e+00 -1.4221e+00 -3.0128e+00 +4.7192e+00 -6.5245e-02 +2.3479e+00 +4.5044e+00 +3.4803e+00 -4.3413e+00
779 +2.435904718e+02 +2.435904718e+02 +2.690604718e+02 +2.690604718e+02 -4.8397e+00 -5.0000e+00 -6.1807e-01 -1.5296e+00 -7.2436e-01 +5.5720e-01 -3.1075e+00 +2.6922e-01 +4.6223e+00 +5.3423e-01 -2.9290e+00 -2.6456e+00 +1.0859e+00 -2.7426e+00 +4.9972e+00 -1.4352e+00 +4.0107e+00 +3.9579e+00 +1.8507e+00 -3.3315e+00
3018 +1.561813021e+02 +1.561813021e+02 +1.816513021e+02 +1.816513021e+02 -4.9634e+00 -5.0000e+00 -6.1040e-01 -1.9200e+00 -6.3227e-01 -3.8714e-01 -3.2766e-01 +1.1763e+00 +4.4971e+00 +8.1914e-01 -3.7968e+00 -2.7541e+00 +1.2158e+00 -2.2141e+00 +4.9972e+00 -3.1245e+00 +4.3873e+00 +4.0850e+00 +1.6964e+00 -3.6581e+00
5183 +9.976107007e+01 +9.976107007e+01 +1.252310701e+02 +1.252310701e+02 -4.9530e+00 -5.0000e+00 -8.2825e-01 -1.8841e+00 -7.2190e-01 -3.2080e-01 -4.0858e-01 +1.1707e+00 +4.5160e+00 +7.6601e-01 -3.9432e+00 -2.7252e+00 +1.0667e+00 -2.2497e+00 +4.9969e+00 -2.9706e+00 +4.1707e+00 +4.1892e+00 +1.7080e+00 -3.6743e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.816193061e+03 +2.816193061e+03 +2.715383061e+03 +2.715383061e+03 -1.1841e+00 +2.7583e+00 -3.6903e+00 -2.0687e+00 -2.7091e+00 -1.8260e+00 +1.9410e+00 -2.0068e+00 +2.1430e+00 +4.3884e-01 -5.2733e-01 +2.5229e+00 -1.3438e+00 +2.8446e+00 -1.1884e+00 -2.1633e+00 -4.9048e-01 +3.0955e-01 +2.0017e+00 -1.3247e+00
2 +1.980829865e+03 +1.980829865e+03 +1.880019865e+03 +1.880019865e+03 -4.2763e-02 +2.3790e+00 +1.2516e+00 +2.9989e+00 -2.0660e+00 -1.6958e+00 -1.4168e+00 -4.9871e+00 +8.1652e-01 -4.6411e+00 -3.7012e+00 +2.1072e+00 +4.9550e+00 +4.8004e+00 -1.4671e+00 +2.8535e+00 +1.1823e+00 -4.6017e+00 +1.5177e+00 +1.0035e-02
